ID,mean,std
4096,-0.004810909,0.09590276
4100,-0.0046068914,0.09268906
4102,-0.0056061177,0.10177504
2055,-0.004140017,0.09058102
4103,-0.0039032688,0.0874163
4104,-0.0038850997,0.08674125
4105,-0.0045066588,0.09192506
2060,-0.0035609445,0.083308116
2061,-0.0037694585,0.08555253
2063,-0.004047379,0.08854116
4114,-0.00361405,0.08466074
4115,-0.0037561723,0.08659875
2068,-0.004407975,0.09100684
21,-0.003633192,0.0857801
23,-0.003396943,0.08232178
2072,-0.0043954123,0.09329596
2073,-0.0036072459,0.08370303
2074,-0.003613794,0.084854014
4120,-0.0035372882,0.083074115
4122,-0.0045685633,0.09575274
4125,-0.0038044914,0.08688508
31,-0.0038164468,0.08774206
2079,-0.0041928682,0.090264626
4127,-0.004338974,0.092982225
4128,-0.0043384777,0.09160979
2083,-0.0047406317,0.09585956
4131,-0.0044911522,0.0946485
42,-0.0043181963,0.09301716
4138,-0.0038904883,0.08752303
4139,-0.003367283,0.08109022
2093,-0.0043367352,0.09195578
47,-0.005028921,0.09774657
4143,-0.0042779185,0.09131329
4146,-0.0034688914,0.08209482
51,-0.0037721042,0.087177984
4149,-0.0035615447,0.0834287
4150,-0.004120951,0.08937354
4151,-0.003765468,0.086970605
56,-0.0034456684,0.08368719
4153,-0.0039478177,0.088333726
58,-0.0033478702,0.08205421
59,-0.0039560623,0.089653134
4155,-0.003976196,0.08941872
61,-0.004088613,0.089897744
2109,-0.0043723476,0.092673846
4157,-0.0039890236,0.08788321
4158,-0.004303883,0.09266137
4160,-0.004478117,0.09151094
68,-0.003683045,0.085679844
69,-0.0036961765,0.08566264
2116,-0.0049828924,0.09622865
2119,-0.0036589964,0.08433712
72,-0.0038821925,0.088064425
2121,-0.0038389903,0.08599242
74,-0.0056438604,0.101415224
2123,-0.0034672697,0.08346123
4164,-0.004550432,0.0951342
4167,-0.0040187943,0.088806726
4169,-0.0033687379,0.081465766
4170,-0.003283833,0.081178404
4171,-0.005285294,0.10165904
4172,-0.0044918614,0.09250096
2130,-0.0051907334,0.099989645
4173,-0.0040397593,0.09053569
4174,-0.0037051188,0.08488285
2133,-0.0036841289,0.08524632
4175,-0.0034131734,0.081401706
4176,-0.0037541913,0.08613576
4177,-0.0043199644,0.09190941
89,-0.0030976832,0.07808206
4179,-0.0045188274,0.09367731
4184,-0.0033041607,0.080789626
4187,-0.0036430992,0.08434815
4188,-0.004195745,0.089641124
4189,-0.0043966603,0.09147134
96,-0.0052604913,0.09934941
4192,-0.0058409353,0.09936757
2146,-0.003593029,0.08322355
